event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Rebounds,5,333.0,,305.0,382.0,,,300.0,475.0,HardRockBet,475.0,5.75,4.3,1.3372093023255816
Indiana Pacers @ Phoenix Suns,T.J. McConnell,Points,20,,,1100.0,1440.0,1000.0,1060.0,,,DraftKings,1440.0,15.4,11.533333333333333,1.3352601156069364
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Rebounds,14,,,,820.0,,680.0,500.0,,DraftKings,820.0,9.2,6.9,1.3333333333333333
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Rebounds,8,,,,,,700.0,500.0,,FanDuel,700.0,8.0,6.0,1.3333333333333333
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Rebounds,6,,,,325.0,,,300.0,450.0,HardRockBet,450.0,5.5,4.125,1.3333333333333333
Atlanta Hawks @ Utah Jazz,Ace Bailey,Rebounds,10,,,1000.0,1300.0,,900.0,,,DraftKings,1300.0,14.0,10.5,1.3333333333333333
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Assists,3,,,,239.0,,,,350.0,HardRockBet,350.0,4.5,3.39,1.327433628318584
Atlanta Hawks @ Utah Jazz,Ace Bailey,Points,25,,,1200.0,2200.0,,1700.0,,2000.0,DraftKings,2200.0,23.0,17.333333333333332,1.326923076923077
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Points,25,650.0,,450.0,485.0,500.0,500.0,400.0,475.0,BetMGM,650.0,7.5,5.683333333333334,1.3196480938416422
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Rebounds,12,,,,,2000.0,2500.0,,3000.0,HardRockBet,3000.0,31.0,23.5,1.3191489361702127
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Threes,7,,,2500.0,,,3000.0,,2000.0,FanDuel,3000.0,31.0,23.5,1.3191489361702127
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Points,25,800.0,,550.0,680.0,,600.0,500.0,,BetMGM,800.0,9.0,6.825,1.3186813186813187
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Assists,5,,,,439.0,,,350.0,550.0,HardRockBet,550.0,6.5,4.945,1.3144590495449948
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Rebounds,7,,,,620.0,,,550.0,800.0,HardRockBet,800.0,9.0,6.85,1.3138686131386863
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Rebounds,12,,,,,,1500.0,,2000.0,HardRockBet,2000.0,21.0,16.0,1.3125
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Rebounds,7,875.0,,900.0,,,,900.0,1200.0,HardRockBet,1200.0,13.0,9.916666666666666,1.3109243697478992
Indiana Pacers @ Phoenix Suns,Grayson Allen,Rebounds,7,700.0,,750.0,980.0,,,650.0,800.0,DraftKings,980.0,10.8,8.25,1.309090909090909
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Rebounds,6,,,,850.0,900.0,870.0,650.0,1100.0,HardRockBet,1100.0,12.0,9.175,1.3079019073569482
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Rebounds,8,,,,1200.0,,,,1600.0,HardRockBet,1600.0,17.0,13.0,1.3076923076923077
Atlanta Hawks @ Utah Jazz,Keyonte George,Rebounds,8,,,,,,1200.0,,1600.0,HardRockBet,1600.0,17.0,13.0,1.3076923076923077
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Assists,7,,,900.0,1120.0,,,700.0,900.0,DraftKings,1120.0,12.2,9.333333333333334,1.307142857142857
