event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
New York Giants @ Denver Broncos,Cam Skattebo,Rushing,50,,,,,,,,-170.0,,HardRockBet,-170.0,1.5882352941176472,,
New York Giants @ Denver Broncos,Cam Skattebo,Rushing,80,,,,,,,,275.0,,HardRockBet,275.0,3.75,,
New York Giants @ Denver Broncos,Chris Manhertz,AnytimeTD,Anytime,,,,,,,,4000.0,,HardRockBet,4000.0,41.0,,
New York Giants @ Denver Broncos,Courtland Sutton,Receiving,25,,,,,,,,-750.0,,HardRockBet,-750.0,1.1333333333333333,,
New York Giants @ Denver Broncos,Courtland Sutton,Receiving,50,,,,,,,,-155.0,,HardRockBet,-155.0,1.6451612903225805,,
New York Giants @ Denver Broncos,Courtland Sutton,Receiving,80,,,,,,,,230.0,,HardRockBet,230.0,3.3,,
New York Giants @ Denver Broncos,Daniel Bellinger,AnytimeTD,Anytime,,,,,,,,1100.0,,HardRockBet,1100.0,12.0,,
New York Giants @ Denver Broncos,Darius Slayton,AnytimeTD,Anytime,,,,,,,,400.0,,HardRockBet,400.0,5.0,,
New York Giants @ Denver Broncos,Devin Singletary,AnytimeTD,Anytime,,,,,,,,1100.0,,HardRockBet,1100.0,12.0,,
New York Giants @ Denver Broncos,Evan Engram,AnytimeTD,Anytime,,,,,,,,325.0,,HardRockBet,325.0,4.25,,
New York Giants @ Denver Broncos,Evan Engram,Receiving,25,,,,,,,,-150.0,,HardRockBet,-150.0,1.6666666666666665,,
New York Giants @ Denver Broncos,Evan Engram,Receiving,50,,,,,,,,300.0,,HardRockBet,300.0,4.0,,
New York Giants @ Denver Broncos,Evan Engram,Receiving,80,,,,,,,,800.0,,HardRockBet,800.0,9.0,,
New York Giants @ Denver Broncos,Gunner Olszewski,AnytimeTD,Anytime,,,,,,,,1500.0,,HardRockBet,1500.0,16.0,,
New York Giants @ Denver Broncos,Jalin Hyatt,AnytimeTD,Anytime,,,,,,,,500.0,,HardRockBet,500.0,6.0,,
New York Giants @ Denver Broncos,Jaxson Dart,Passing,250,,,,,,,,400.0,,HardRockBet,400.0,5.0,,
New York Giants @ Denver Broncos,Jaxson Dart,Rushing,25,,,,,,,,-550.0,,HardRockBet,-550.0,1.1818181818181819,,
New York Giants @ Denver Broncos,Jaxson Dart,Rushing,50,,,,,,,,120.0,,HardRockBet,120.0,2.2,,
New York Giants @ Denver Broncos,Jaxson Dart,Rushing,80,,,,,,,,500.0,,HardRockBet,500.0,6.0,,
New York Giants @ Denver Broncos,Marvin Mims Jr.,AnytimeTD,Anytime,,,,,,,,325.0,,HardRockBet,325.0,4.25,,
New York Giants @ Denver Broncos,Nate Adkins,AnytimeTD,Anytime,,,,,,,,1000.0,,HardRockBet,1000.0,11.0,,
New York Giants @ Denver Broncos,Pat Bryant,AnytimeTD,Anytime,,,,,,,,650.0,,HardRockBet,650.0,7.5,,
New York Giants @ Denver Broncos,RJ Harvey,AnytimeTD,Anytime,,,,,,,,155.0,,HardRockBet,155.0,2.55,,
New York Giants @ Denver Broncos,Theo Johnson,AnytimeTD,Anytime,,,,,,,,375.0,,HardRockBet,375.0,4.75,,
New York Giants @ Denver Broncos,Theo Johnson,Receiving,25,,,,,,,,-160.0,,HardRockBet,-160.0,1.625,,
New York Giants @ Denver Broncos,Theo Johnson,Receiving,50,,,,,,,,275.0,,HardRockBet,275.0,3.75,,
New York Giants @ Denver Broncos,Theo Johnson,Receiving,80,,,,,,,,800.0,,HardRockBet,800.0,9.0,,
New York Giants @ Denver Broncos,Trent Sherfield Sr.,AnytimeTD,Anytime,,,,,,,,1200.0,,HardRockBet,1200.0,13.0,,
